pmid	title	abstract
40205636	Correction to "Spesolimab: A Comprehensive Review on the Anti-IL-36 Receptor Antibody in Dermatology".	NA
40205634	A Python package for fast GPU-based proton pencil beam dose calculation.	Open-source GPU-based Monte Carlo (MC) proton dose calculation algorithms provide high speed and unparalleled accuracy but can be complex to integrate with new applications and remain slower than GPU-based pencil beam (PB) methods, which sacrifice some physical accuracy for sub-second plan calculation. We developed and validated a Python package implementing a GPU-based double Gaussian PB algorithm for intensity-modulated proton therapy (IMPT) planning research applications requiring a simple, widely compatible, and ultra-fast proton dose calculation solution.
40205633	Redox signalling in the nucleus: shaping the epigenetic code.	NA
40205632	Wilting may leave bees wanting: drops in turgor pressure may reduce viability of buzz-pollinated flowers.	NA
40205631	Leaf carbon isotope composition: a key proxy for scaling up the best candidates.	NA
40205630	Biological functionality of non-functional protein kinases.	NA
40205629	No Melanomas Identified by Skin Exam in Over 500,000 Adolescents: A Nationwide Retrospective Cohort Study.	NA
40205628	Complication Rates for Invasive Nail Procedures.	NA
40205627	Efficacy and Safety of Direct Oral Anti-Coagulants in Painful Venous Malformations in Children.	Direct oral anticoagulants (DOAC), including dabigatran, apixaban, and rivaroxaban, are increasingly used in adults for painful venous malformations (VMs) instead of subcutaneous drugs such as low molecular weight heparins or fondaparinux. However, these medications are poorly studied in children. In seven children with painful VMs and chronic intravascular consumptive coagulopathy, DOACs allowed for successful pain control and improvement in coagulopathy, with no adverse effects. DOACs appear to be an effective alternative in childhood VM associated with intravascular coagulopathy.
40205626	Design and validation of a novel dosimetry phantom for motion management audits.	We present a novel phantom design for conducting end-to-end dosimetry audits for respiratory motion management of two anatomical treatment sites. The design enables radiochromic film measurements of the dose administered to the target throughout the respiratory cycle (motion-included) and the dose delivered to the time-averaged motion of the phantom (motion-excluded) to be conducted simultaneously.
40205625	Associations of neighbourhood walkability with patterns of device-measured stepping, standing and sitting.	Neighbourhood walkability is known to be positively associated with self-reported and device-based measures of overall physical activity. However, relations of walkability with specific active and sedentary behaviour patterns are not well understood.
40205624	Psychometric evaluation of the problem areas in diabetes (PAID) scale among people with type 2 diabetes in Ethiopia: a tool validation study.	to assesses the psychometric properties of the Problem Area in Diabetes (PAID) scale for Ethiopian patients with type 2 diabetes.
40205622	RE: Endocrine therapy and risk of cardiovascular disease and mortality in postmenopausal breast cancer survivors.	NA
40205621	Exercise and dietary interventions in the management of diabetic cardiomyopathy: mechanisms and implications.	The global prevalence of diabetes is rapidly increasing, significantly raising the risk of various cardiovascular diseases. Among these, diabetic cardiomyopathy (DCM) is a distinct and critical complication characterized by ventricular hypertrophy and impaired myocardial contractility, ultimately progressing to heart failure and making it a leading cause of mortality among diabetic patients. Despite advances in pharmacological therapies, the effectiveness of managing cardiac dysfunction in DCM remains challenging. Consequently, exploring additional therapeutic strategies for the prevention and treatment of DCM is urgently needed. Beyond pharmacological approaches, lifestyle modifications, particularly exercise and dietary interventions, play a fundamental role in managing DCM due to their significant cardiovascular benefits in diabetic patients. This review synthesizes recent advancements in the field, elucidating the underlying mechanisms through which exercise and dietary interventions influence DCM pathophysiology. By integrating these strategies, we aim to facilitate the development of personalized exercise and dietary regimens that effectively mitigate or prevent DCM progression.
40205620	Core outcome sets in cancer clinical trials: current status and future opportunities-an EORTC perspective.	Inconsistent, varied and selective outcome reporting is problematic in clinical trials. Core outcome sets (COS) standardise the outcomes that should be measured and reported in all trials in a specific area of health or health care. We reviewed available cancer COS and assessed their uptake in cancer clinical trials through surveying members of the European Organisation for Research and Treatment of Cancer (EORTC).
40205618	Development of an RT-RPA assay for La Crosse virus detection provides insights into age-dependent neuroinvasion in mice.	La Crosse virus (LACV) is a mosquito-borne arbovirus responsible for pediatric encephalitis in North America, predominantly affecting children under 16 years. Early and accurate diagnosis is critical to reducing morbidity in this vulnerable population. However, existing molecular and serological methods are limited in sensitivity, specificity, and accessibility.
40205617	Efficacy of concentrated growth factor combined with coronally advanced flap in the treatment of gingival recession: a systematic review and meta-analysis.	This study aims to evaluate the efficacy of combining the coronally advanced flap (CAF) technique with concentrated growth factor (CGF) in the treatment of gingival recession (GR), and to compare this approach with other alternative treatments.
40205614	Synergies, partnership outcomes, and lessons learned: A qualitative evaluation of cancer center-coalition engagement.	Nine National Cancer Institute (NCI)-Designated Cancer Centers received supplemental funding to expand community outreach and engagement (COE) activities through a partnership with Centers for Disease Control and Prevention (CDC)-funded comprehensive cancer control coalitions. This article reports on an evaluation of these awards focused on organizational relationship synergies and partnership outcomes.
40205613	Correction: microRNA-4701-5p protects against interleukin-1β induced human chondrocyte CHON-001 cells injury via modulating HMGA1.	NA
40205612	Lumpy skin disease virus ORF142 protein inhibits type I interferon production by disrupting interactions of TBK1 and IRF3.	Lumpy skin disease virus (LSDV) causes lumpy skin disease, which is one of the most devastating ruminant diseases. The pathogenesis of the disease remains largely unknown; however, the disease seriously threatens the global cattle-farming industry. In our previous study, we found that LSDV 142 gene deletion affected LSDV proliferation in cells and was an early gene involved in LSDV infection. Additionally, the study found that ORF142 inhibits the production of interferon beta.
40205611	Skin microbiome influences the progression of cutaneous squamous cell carcinoma through the immune system.	Cutaneous squamous cell carcinoma (cSCC) is a type of skin tumor that develops in the epithelial cells. This disease has the second highest incidence of human skin cancers, with a high metastatic rate. While ultraviolet radiation significantly contributes to the genomic changes that support cSCC development, the dysbiosis of the skin microbiome and influence of the immune system also play important roles in this process. In this review, we discuss the effects of skin microbes and their metabolites on the immune system, including innate immune cells, T cells, and cytokines. We also discuss how Staphylococcus aureus and human papillomavirus can affect cSCC by impacting the immune system. Furthermore, we explore the antagonism of symbiotic microorganisms with cSCC-associated pathogens and their potential as novel therapeutic modalities.
40205609	Kangaroo mother care among hospitalised neonates: evaluation of the validity of duration measurement methods compared to observation linked to the OMWaNA trial in Uganda.	Studies evaluating the impact of kangaroo mother care (KMC) on neonatal mortality and morbidity often rely on healthcare worker records or caregiver reports to measure intervention duration. However, the accuracy of these methods remains uncertain. We examined the validity of different methods of KMC duration measurement amongst neonates ≤ 2000 g in Uganda.
40205607	Environmental costs in healthcare system: the case studies of Greece health care.	Climate change is considered one of the greatest threats to environmental sustainability, human health and social well-being worldwide. The healthcare sector is one of the main actors with a strong negative environmental footprint, being responsible for about 4% of global emissions, and is also considered one of the costliest sectors, with healthcare spending absorbing about 10% of global economic output. This article examines the environmental costs of the healthcare system in Greece, with a focus on public hospitals. The data analysis methodology was based on linear ordinary regression (OLS) models to calculate environmental costs related to energy consumption, waste management and water consumption. Data was collected through the Ministry of Health's platform (BI Health) and analyzed using Stata software. The main findings suggest that environmental costs are a significant part of total operating costs, particularly in university and specialist hospitals. Factors such as the number of beds, the existence of special units (e.g. ICU) and the use of natural gas have a significant impact on environmental costs. The study offers a mathematical model for predicting environmental costs, which can help hospital administrators to make decisions about sustainable practices. This model could provide an important opportunity for practical application to make targeted decisions such as investing in sustainable technologies, improving energy efficiency and enhancing waste management, leading to cost-effective and environmentally sustainable practices.
40205606	The impact of parental educational expectations on subjective well-being among adolescents: The serial mediating role of self-efficacy and learning engagement.	Research has shown that parental educational expectations, self-efficacy, and learning engagement play a crucial role in influencing students' subjective well-being. However, the specific mechanisms through which parental educational expectations impact adolescents' subjective well-being via self-efficacy and learning engagement are not well understood.
40205605	Perceived injustice in patients with chronic pain.	Chronic pain, particularly pain secondary to trauma, is often accompanied by a feeling of perceived injustice. A prevalent feeling of injustice often goes along with a prolonged rehabilitation and problematic development of chronic pain. This feeling also correlates to catastrophizing. To date, too little is known about how the perception of injustice in chronic pain patients is interwoven with a variety of psychological, social and somatic factors. The present study sought to examine whether perceived injustice is correlated with pain level, pain diagnosis, depression, anxiety, stress, quality of life, pain related disability, occupation status and ongoing workers compensation litigation.
40205604	Hyperthermic intrathoracic chemotherapy in patients with malignant pleural mesothelioma after cytoreductive surgical procedures: a systematic review.	Surgery-based multimodality therapies for treatment of malignant pleural mesothelioma have been clinically explored in the past decades. In this regard, hyperthermic intrathoracic or intrapleural chemotherapy has been used as one of the multimodality therapies. The question addressed was In patients with malignant pleural mesothelioma who undergo macroscopic complete resection (MCR) does performing a Hyperthermic intrathoracic chemotherapy (HITOCH) lead to improvement in survival? The trial was registered in PROSPERO https://www.crd.york.ac.uk/prospero/ under registration number: CRD42024588823.Three hundred five papers were found using the reported search, 21 were relevant to our topic and only 7 represented the best evidence to answer the clinical question. The authors, journal, date and country of publication, patient group studied, study type, relevant outcomes and results of these papers are tabulated. Six studies demonstrated a survival benefit for patients receiving HITOCH with a median survival ranging from 13-35 months in comparison to 11 -22.8 months for the non HITOCH group. Three out of the five studies compared extra-pleural pneumonectomy (EPP) to extended pleurectomy decortication (EPD) as the surgical preference for MCR. Only one study by Van Sandick et al. found a negative outcome with HITOCH in patients performing EPP (11 months vs 29 months). There was no reported mortality in relation to complications associated with HITOCH. The most common complication was atrial fibrillation followed by renal impairment. Despite the heterogeneity, small number of cases and lack of prospective randomised controlled trials, the body of evidence identified in this work demonstrates that HITHOC added to MCR in patients with pleural mesothelioma is safe and feasible. Possible improvement in recurrence free survival and overall survival warrant investigation in a randomised controlled trial.
40205603	Application of artificial intelligence in the diagnosis of malignant digestive tract tumors: focusing on opportunities and challenges in endoscopy and pathology.	Malignant digestive tract tumors are highly prevalent and fatal tumor types globally, often diagnosed at advanced stages due to atypical early symptoms, causing patients to miss optimal treatment opportunities. Traditional endoscopic and pathological diagnostic processes are highly dependent on expert experience, facing problems such as high misdiagnosis rates and significant inter-observer variations. With the development of artificial intelligence (AI) technologies such as deep learning, real-time lesion detection with endoscopic assistance and automated pathological image analysis have shown potential in improving diagnostic accuracy and efficiency. However, relevant applications still face challenges including insufficient data standardization, inadequate interpretability, and weak clinical validation.
40205601	Prevalence of metabolic syndrome in patients with inflammatory bowel disease: a meta-analysis on a global scale.	Metabolic syndrome (MetS) is a cluster of metabolic abnormalities that increase the risk of cardiovascular diseases (CVD). Patients with inflammatory bowel disease (IBD) may be at higher risk of developing MetS due to chronic inflammation, altered adipokine profiles, and the effects of corticosteroid treatment. However, the prevalence of MetS in IBD patients remains inconsistent across studies. This meta-analysis aims to estimate the prevalence of MetS in IBD patients and compare its occurrence between Crohn's disease (CD) and ulcerative colitis (UC).
40205600	The impact of socioeconomic characteristics on Sudanese women's use of traditional, complementary and integrative medicine for self-management of infertility.	Although Sudanese women have rich experience in the use of traditional, complementary and integrative medicine, literature discussing the use for self-management of infertility is scarce. Therefore, this study aimed to fill this gap by examining the associations of the socioeconomic characteristics of Sudanese women with, as well as their predictability of, the use of traditional, complementary and integrative medicine for self-management of infertility.
40205599	Off-label use of sodium cantharidinate and vitamin B6 injection in cancer: a protocol for a systematic review and meta-analysis.	In China, sodium cantharidinate/vitamin B6 (SC/VB6) injection has been approved since 2002 for the treatment of lung cancer and primary liver cancer. In addition to these authorized indications, clinical application of SC/VB6 is also common in various other types of cancer. However, there is a lack of comprehensive understanding on this topic. Thus, this systematic review and meta-analysis aims to consolidate evidence regarding the efficacy and safety of off-label use of SC/VB6 in oncology.
40205597	Genomic and functional analysis of rmp locus variants in Klebsiella pneumoniae.	Klebsiella pneumoniae is an opportunistic pathogen and a leading cause of healthcare-associated infections in hospitals, which are frequently antimicrobial resistant (AMR). Exacerbating the public health threat posed by K. pneumoniae, some strains also harbour additional hypervirulence determinants typically acquired via mobile genetic elements such as the well-characterised large virulence plasmid KpVP-1. The rmpADC locus is considered a key virulence feature of K. pneumoniae and is associated with upregulated capsule expression and the hypermucoid phenotype, which can enhance virulence by contributing to serum resistance. Typically such strains have been susceptible to all antimicrobials besides ampicillin; however, the recent emergence of AMR hypermucoid strains is concerning.
