name	url
abamectin	http://www.bcpcpesticidecompendium.org/abamectin.html
abamectin-aminomethyl	http://www.bcpcpesticidecompendium.org/emamectin.html
abscisic acid	http://www.bcpcpesticidecompendium.org/abscisic%20acid.html
ACC	http://www.bcpcpesticidecompendium.org/acc.html
acephate	http://www.bcpcpesticidecompendium.org/acephate.html
acequinocyl	http://www.bcpcpesticidecompendium.org/acequinocyl.html
acetamiprid	http://www.bcpcpesticidecompendium.org/acetamiprid.html
acethion	http://www.bcpcpesticidecompendium.org/acethion.html
acetochlor	http://www.bcpcpesticidecompendium.org/acetochlor.html
acetofenate	http://www.bcpcpesticidecompendium.org/plifenate.html
acetophos	http://www.bcpcpesticidecompendium.org/acetophos.html
acetoprole	http://www.bcpcpesticidecompendium.org/acetoprole.html
acibenzolar	http://www.bcpcpesticidecompendium.org/acibenzolar.html
acifluorfen	http://www.bcpcpesticidecompendium.org/acifluorfen.html
aclonifen	http://www.bcpcpesticidecompendium.org/aclonifen.html
ACN	http://www.bcpcpesticidecompendium.org/quinoclamine.html
acrep	http://www.bcpcpesticidecompendium.org/acrep.html
acrinathrin	http://www.bcpcpesticidecompendium.org/acrinathrin.html
acrolein	http://www.bcpcpesticidecompendium.org/acrolein.html
acrylonitrile	http://www.bcpcpesticidecompendium.org/acrylonitrile.html
acynonapyr	http://www.bcpcpesticidecompendium.org/acynonapyr.html
acypetacs	http://www.bcpcpesticidecompendium.org/acypetacs.html
afidopyropen	http://www.bcpcpesticidecompendium.org/afidopyropen.html
afoxolaner	http://www.bcpcpesticidecompendium.org/afoxolaner.html
(_S_)-afoxolaner	http://www.bcpcpesticidecompendium.org/esafoxolaner.html
AITC	http://www.bcpcpesticidecompendium.org/allyl%20isothiocyanate.html
alachlor	http://www.bcpcpesticidecompendium.org/alachlor.html
alanap	http://www.bcpcpesticidecompendium.org/naptalam.html
alanycarb	http://www.bcpcpesticidecompendium.org/alanycarb.html
albendazole	http://www.bcpcpesticidecompendium.org/albendazole.html
albucidin	http://www.bcpcpesticidecompendium.org/albucidin.html
aldicarb	http://www.bcpcpesticidecompendium.org/aldicarb.html
aldicarb sulfone	http://www.bcpcpesticidecompendium.org/aldoxycarb.html
aldimorph	http://www.bcpcpesticidecompendium.org/aldimorph.html
aldoxycarb	http://www.bcpcpesticidecompendium.org/aldoxycarb.html
aldrin	http://www.bcpcpesticidecompendium.org/aldrin.html
allethrin	http://www.bcpcpesticidecompendium.org/allethrin.html
_d-trans_-allethrin	http://www.bcpcpesticidecompendium.org/bioallethrin.html
allicin	http://www.bcpcpesticidecompendium.org/allicin.html
