pmid	title	abstract
10234476	Pesticide induced changes of nitric oxide synthase in rat brain in vitro.	Organic insecticides are well known neurotoxicants. Nitric oxide (NO) is a neurotransmitter formed stoicheometrically with citrulline from L-arqinine through mediation of the enzyme nitric oxide synthase (NOS). We measured NOS activity in rat brain in vitro in the presence of selected organic insecticides such as, 10-200 microM conc carbaryl, kepone and malathion. All these three compounds inhibited NOS activity of rat brain in vitro in a concentration dependent manner. In most cases the changes observed were statistically significant. The order of potency, based on IC50 values of these insecticides, to inhibit NOS activity of rat brain, is carbaryl (105 microM) > Kepone (144 microM) > malathion (170 microM). We further demonstrated that these insecticides inhibit calmodulin (CaM)-stimulated NOS activity without affecting the basal enzyme activity. It is reported that the observed inhibition of NOS by selected insecticides may be due to interaction of these insecticides with Ca2+/CaM on which the NOS activity is well known to be dependent. This ultimately may lead to neurotoxicity of rat brain.
10369463	Minor structural changes in nicotinoid insecticides confer differential subtype selectivity for mammalian nicotinic acetylcholine receptors.	The major nitroimine insecticide imidacloprid (IMI) and the nicotinic analgesics epibatidine and ABT-594 contain the 6-chloro-3-pyridinyl moiety important for high activity and/or selectivity. ABT-594 has considerable nicotinic acetylcholine receptor (AChR) subtype specificity which might carry over to the chloropyridinyl insecticides. This study considers nine IMI analogues for selectivity in binding to immuno-isolated alpha1, alpha3 and alpha7 containing nicotinic AChRs and to purported alpha4beta2 nicotinic AChRs. Alpha1- and alpha3-containing nicotinic AChRs (both immuno-isolated by mAb 35, from Torpedo and human neuroblastoma SH-SY5Y cells, respectively) are between two and four times more sensitive to DN-IMI than to (-)-nicotine. With immuno-isolated alpha3 nicotinic AChRs, the tetrahydropyrimidine analogues of IMI with imine or nitromethylene substituents are 3-4 fold less active than (-)-nicotine. The structure-activity profile with alpha3 nicotinic AChRs from binding assays is faithfully reproduced in agonist potency as induction of 86rubidium ion efflux in intact cells. Alpha7-containing nicotinic AChRs of SH-SY5Y cells (immuno-isolated by mAb 306) and rat brain membranes show maximum sensitivity to the tetrahydropyrimidine analogue of IMI with the nitromethylene substituent. The purported alpha4beta2 nicotinic AChRs [mouse (Chao & Casida, 1997) and rat brain] are similar in sensitivity to DN-IMI, the tetrahydropyrimidine nitromethylene and nicotine. The commercial insecticides (IMI, acetamiprid and nitenpyram) have low to moderate potency at the alpha3 and purported alpha4beta2 nicotinic AChRs and are essentially inactive at alpha1 and alpha7 nicotinic AChRs. In conclusion, the toxicity of the analogues and metabolites of nicotinoid insecticides in mammals may involve action at multiple receptor subtypes with selectivity conferred by minor structural changes.
10583056	Evidence for double resistance to permethrin and malathion in head lice.	A rising prevalence of head lice among school children and rising sales of insecticides with anecdotal evidence of their treatment failure, led us to examine whether head lice in Bristol and Bath were resistant to the insecticides available for treating head lice. Ten schools in Bristol and Bath were visited to collect field samples of head lice. A comparison was made of the survival rates of fully sensitive laboratory reared body lice and field samples of head lice on insecticide exposure. To confirm the in vitro relevance of these tests we performed supervised treatments of affected subjects with malathion or permethrin. There were significant differences (P < 10-6 Fishers exact test) between head and body lice survival for malathion and permethrin exposure, but not for carbaryl. There was an 87% failure rate for permethrin and a 64% failure rate for malathion with the topical treatment of a selected number of infested school children. We conclude that there is a high resistance to permethrin and malathion, but head lice remain fully sensitive to carbaryl. This is the first report of doubly resistant head lice. As permethrin, phenothrin (a very similar synthetic pyrethroid) or malathion are the active ingredients in all the over-the-counter head lice treatments in the U.K., then it is likely that head lice prevalence will continue to increase. The resistance against permethrin employed by the head louse is probably the kdr (knockdown resistance) mechanism, and an enzyme-mediated malathion-specific esterase is the likely mechanism against malathion.
15496540	Pesticides and lung cancer risk in the agricultural health study cohort.	The authors examined the relation between 50 widely used agricultural pesticides and lung cancer incidence in the Agricultural Health Study, a prospective cohort study of 57,284 pesticide applicators and 32,333 spouses of farmer applicators with no prior history of lung cancer. Self-administered questionnaires were completed at enrollment (1993-1997). Cancer incidence was determined through population-based cancer registries from enrollment through December 31, 2001. A lung cancer standardized incidence ratio of 0.44 (95% confidence interval: 0.39, 0.49) was observed overall, due in large part to a low cigarette smoking prevalence. Two widely used herbicides, metolachlor and pendimethalin (for low-exposed groups to four higher exposure categories: odds ratio (OR) = 1.0, 1.6, 1.2, 5.0; p(trend) = 0.0002; and OR = 1.0, 1.6, 2.1, 4.4; p(trend) = 0.003, respectively), and two widely used insecticides, chlorpyrifos and diazinon (OR = 1.0, 1.1, 1.7, 1.9; p(trend) = 0.03; and OR = 1.0, 1.6, 2.7, 3.7; p(trend) = 0.04, respectively), showed some evidence of exposure response for lung cancer. These excesses could not be explained by previously identified lung cancer risk factors. The usage levels in this cohort are considerably higher than those typically experienced by the general population. An excess risk among spouses directly exposed to pesticides could not be evaluated at this time.
16452832	Pendimethalin exposure and cancer incidence among pesticide applicators.	Pendimethalin, a widely used herbicide, has been classified as a group C possible human carcinogen by the U.S. Environmental Protection Agency. We evaluated the incidence of cancer in relation to reported pendimethelin use among pesticide applicators in the Agricultural Health Study, a prospective cohort of licensed pesticide applicators in Iowa and North Carolina.
16704049	Dose-additive inhibition of chinook salmon acetylcholinesterase activity by mixtures of organophosphate and carbamate insecticides.	Organophosphate and carbamate insecticides are widely detected in surface waters of the western United States. These chemicals interfere with acetylcholine-mediated synaptic transmission in the nervous systems of fish and other aquatic animals via the inhibition of AChE (acetylcholinesterase) enzyme activity. Anticholinesterase insecticides commonly co-occur in the environment. This raises the possibility of antagonistic, additive, or synergistic neurotoxicity in exposed fish, including threatened and endangered species of Pacific salmon. We extracted AChE from the olfactory nervous system of chinook salmon (Oncorhynchus tshawytscha) and investigated the inhibitory effects of organophosphates (the oxon derivatives of diazinon, chlorpyrifos, and malathion) and carbamates (carbaryl and carbofuran), alone and in two-way combinations. We found that the joint toxicity of anticholinesterase mixtures can be accurately predicted from the inhibitory potencies of individual chemicals within a mixture. This indicates that organophosphate and carbamate insecticides are noninteractive in terms of AChE inhibition and that it might be possible to estimate the cumulative neurotoxicity of mixtures by simple dose addition. Because organophosphates and carbamates are likely to have additive effects on the neurobehavior of salmon under natural exposure conditions, ecological risk assessments that focus on individual anticholinesterases might underestimate the actual risk to salmon in watersheds in which mixtures of these chemicals occur.
19248625	[The effect of pesticide acetamiprid on biochemical markers in tissues of fresh water bivalve mussels Anodonta cygnea L. (Unionidae)].	The effects of ecological real concentration of pesticide "Mospilan" (active substance - acetamiprid) on the status of oxidative stress biomarkers, neurotoxicity and metallothioneins' (MTs) characteristics of freshwater bivalve mussels Anodonta cygnea were investigated. The prooxidative changes (decrease of superoxide dismutase activity, reduced glutathione content, increase of content of lipid and proteins peroxidation products) and decrease of the MTs content in gills and especially in digestive gland in the experimental group were reflected, whereas acetylcholinesterase activity was not changed. The effect of acetamiprid induces the appearance of additional chromatographic MTs form.
19934164	Time-course, dose-response, and age comparative sensitivity of N-methyl carbamates in rats.	N-Methyl carbamate insecticides are reversible inhibitors of central and peripheral acetylcholinesterase (ChE). Despite their widespread use, there are few studies of neurotoxicity in young animals. To study potential age-related differences, we evaluated seven carbamates (carbaryl, carbofuran, formetanate, methiocarb, methomyl, oxamyl, and propoxur) in preweanling (17 days old or postnatal day [PND] 17) male rats. Motor activity was monitored, and ChE inhibition was measured in brain and red blood cells (RBCs) using a radiometric assay that minimized reactivation of ChE. First, we conducted time-course studies in PND17 Long-Evans male rats, using a single oral dose of each carbamate. Almost all carbamates showed maximal ChE inhibition at a 45-min time point; only methomyl showed an earlier peak effect (15 min). At 24 h, most inhibition had recovered. Next, dose-response data were collected for each carbamate, using four doses and control, with motor activity testing beginning 15 min after dosing and tissue collection at 40-45 min. RBC ChE was generally inhibited to a greater degree than brain. Motor activity was not as sensitive a measure for some of the carbamates, with some differences across carbamates in the shapes of the dose-response curves. Additional studies documented age-related differences by comparing ChE inhibition in PND11, PND17, and adult rats following administration of carbaryl or carbofuran. Only the youngest (PND11) rats were more sensitive than adults to carbaryl, but both younger ages showed more effects than adults with carbofuran. Comparisons of the other carbamates to previous studies in adult rats suggest similar age-related sensitivity. Thus, these data show the time-course and dose-response characteristics for each carbamate and document greater sensitivity of the young for carbofuran and carbaryl.
22361216	Effect of chronic exposure to pendimethalin on the susceptibility of rainbow trout, Oncorhynchus mykiss L., to viral hemorrhagic septicemia virus (VHSV).	In this study, the in vivo effects of chronic pollution by the active substance (AS) pendimethalin, a dinitroaniline herbicide, on the susceptibility of rainbow trout, Oncorhynchus mykiss L., to an experimental challenge with viral hemorrhagic septicemia virus (VHSV) were assessed. After four weeks of exposure to fresh water (C group) or 500 ng L(-1) of AS (P500 group), the fish were challenged by immersion in water containing 10(4) TCID(50) mL(-1) of VHSV. While exposure to pendimethalin was maintained throughout the experiment, mortalities were recorded during the 40 days post-infection (dpi) and organs were collected from dead fish for virological examination. At the end of the experiment, anti-VHSV antibodies and the classical pathway of complement activity were assessed in trout plasma. Exposure to pendimethalin significantly affected the distribution of cumulative mortality accelerating death in fish infected by VHSV. Pendimethalin appeared to decrease the Mean Time to Death (MTD) after virus treatment from 14.9 days (C-VHSV) to 10.2 days (P500-VHSV). Nevertheless, by the end of the experiment, differences in cumulative mortality were no longer observed between the two groups, which had reached the same stage (50 percent). Furthermore, a higher concentration of the virus was recovered from the pools of organs from the P500-VHSV group than the C-VHSV group. Moreover, at 40 dpi, although no significant difference was observed in the immune response between the two groups, more fish in the P500-VHSV group had set up an immune response by secreting antibodies than in the control viral group (C-VSHV).
22393406	Nicotine-like effects of the neonicotinoid insecticides acetamiprid and imidacloprid on cerebellar neurons from neonatal rats.	Acetamiprid (ACE) and imidacloprid (IMI) belong to a new, widely used class of pesticide, the neonicotinoids. With similar chemical structures to nicotine, neonicotinoids also share agonist activity at nicotinic acetylcholine receptors (nAChRs). Although their toxicities against insects are well established, their precise effects on mammalian nAChRs remain to be elucidated. Because of the importance of nAChRs for mammalian brain function, especially brain development, detailed investigation of the neonicotinoids is needed to protect the health of human children. We aimed to determine the effects of neonicotinoids on the nAChRs of developing mammalian neurons and compare their effects with nicotine, a neurotoxin of brain development.
