mid	title	abstract
40066485	Highly Stable, Excellent Foliar Adhesion and Anti-Photodegradation Nucleic Acid-Peptide Coacervates for Broad Agrochemicals Delivery.	Agrochemicals play a pivotal role in the management of pests and diseases and the way agrochemicals are utilized exerts significant impacts on the environment. Ensuring rational application and improving utilization rates of agrochemicals are major demands in developing green delivery systems. Herein, a model of nucleic acid-peptide coacervate (NPC) for agrochemical delivery is presented, which is formed by mixing negatively charged single-stranded DNAs with positively charged poly-L-lysine. The NPC microsystem exhibits broad loading capacities for various types of agrochemicals. Furthermore, the NPCs demonstrate remarkable protection against photodegradation for photosensitive agrochemicals. In the foliar interactions, the NPCs exhibit excellent wetting performances and foliar adhesion on hydrophobic cabbage leaves and wheat leaves infected with powdery mildew to facilitate direct spaying in practical applications. Subsequently, the NPC microsystem is stabilized against coalescence by a charged comb polymer. Then, the NPC loaded with emamectin benzoates (EBs) exhibited significantly higher insecticidal activity compared to free EBs. This enhanced efficacy can be attributed to the higher insect uptake efficiency of the NPC formulation, as evidenced by fluorescent imaging of mosquito larvae. This coacervate model provides a new biocompatible and highly efficient system for future agrochemical delivery that actively contributes to eco-friendly and sustainable agriculture.
40066208	Assessment of fall-back MRLs for revoked CXLs previously implemented in the EU legislation.	In the 55th meeting of the Codex Committee on Pesticide Residues (CCPR meeting) held in June 2024 and the subsequent 47th meeting of the Codex Alimentarius Commission (CAC) (November 2024), in total 111 Codex MRLs (CXLs) for 16 active substances (a.s.) were revoked. In accordance with Article 43 of Regulation (EC) 396/2005, EFSA was requested by the European Commission to identify the revoked CXLs which had been previously taken over in the EU MRL legislation (Regulation (EC) No 396/2005) and, if possible, propose fall-back maximum residue levels (MRLs) to replace the revoked CXLs. Based on the detailed assessment and taking into account the information provided by Member States, EFSA proposed fall-back MRLs for carbofuran in cotton seed and fluopyram/wheat. Risk management discussions are recommended to decide on the appropriate fall-back option for cyantraniliprole in soya beans. For difenoconazole, EFSA proposed to postpone the decision on a possible fall-back MRL, pending the outcome of the ongoing review of EU MRLs. For imazapyr/wheat and cyantraniliprole/beans and eggs, the existing MRLs will be replaced by new CXLs. The revocation of the other CXLs does not trigger a modification of the existing EU MRLs.
40066046	Antimicrobial activity and biocompatibility of alpha-silver tungstate nanoparticles.	The growing global threat posed by microorganisms resistant to conventional antimicrobials underscores the urgent need for novel agents to control infections. The aim of this study was to evaluate the antimicrobial activity and biocompatibility of alpha-silver tungstate (α-Ag<sub>2</sub>WO<sub>4</sub>) nanoparticles (NPs) synthesized by the ultrasonic method. The NPs were characterized, and their antimicrobial activity was assessed against <i>Candida albicans</i>, <i>Staphylococcus aureus</i>, and <i>Escherichia coli</i> using the broth microdilution method, determining the minimum inhibitory concentration (MIC) and minimum bactericidal/fungicidal concentration (MBC/MFC). Intracellular reactive oxygen species (ROS) production was detected by fluorescence using the CM-H₂DCFDA probe. Cytotoxicity was evaluated using murine L929 fibroblasts by MTT assay. Cell viability of both microorganisms and L929 fibroblasts was further assessed using Confocal Laser Scanning Fluorescence Microscopy (CLSM). For <i>C. albicans</i>, the MIC was 3.90 μg/mL, and the MFC was 7.81 μg/mL. For <i>S. aureus</i>, the MIC and MBC were both 62.50 μg/mL, while <i>E. coli</i> exhibited MIC and MBC values of 0.48 μg/mL. The biocompatibility assay revealed a significant reduction in cell viability at concentrations starting from 15.62 μg/mL. CLSM images corroborated the results from both microbiological and biocompatibility assays. Additionally, ROS production was detected in all three microorganisms upon exposure to the NPs, confirming their antimicrobial mechanism. In conclusion, α-Ag₂WO₄ NPs effectively inactivated <i>C. albicans</i>, <i>S. aureus</i>, and <i>E. coli</i>. However, a higher concentration was required to inhibit <i>S. aureus</i> compared to <i>E. coli</i> and <i>C. albicans</i>. The biocompatibility assay revealed concentration-dependent cytotoxic effects. These findings highlight the potential of α-Ag<sub>2</sub>WO<sub>4</sub> NPs as antimicrobial agents and suggest further research into their efficacy against biofilms, optimization of their biocompatibility, and the application of these nanomaterials in the incorporation and coating of materials used in biomedical and dental devices.
40065631	Genome Mining and Antagonism of Stenotrophomonas geniculata MK-1, Against Peanut Foliage Fungus Diseases.	Stenotrophomonas geniculata, a bacterium, has been recognized as an eco-friendly substitute for chemical fungicides in managing peanut foliar diseases, web blotch, and early leaf spot. Core genome and pan-genome analysis identified that strain MK-1 belongs to Stenotrophomonas geniculata, and nucleotide polymorphism (SNP) analysis confirmed that strain belongs to Stenotrophomonas maltophilia. The research revealed that S. geniculata MK-1 had a notable antagonistic impact on Peyronellaea arachidicola and Cercospora arachidicola and demonstrated a biocontrol efficacy of over 95% against peanut early leaf spot and web blotch disease. The nonredundant protein sequences (NR) database identified 4324 annotations related to S. geniculata, with 2682 genes similar to strain MK-1. The COG database categorized 3041 annotations into 22 functional groups, and 33 distinct metabolic pathways associated with 1851 Kyoto Encyclopedia of Genes and Genomes (KEGG) annotations. Most genes linked with metabolism are found in S. geniculata, with 380 genes related to carbohydrate metabolism and 44 genes related to secondary metabolite biosynthesis. The Carbohydrate-Active enZYmes (CAZy) database identified 194 annotations are linked to non-ribosomal synthesis of secondary metabolites. The Pathogen-Host Interactions (PHI) database showed reduced virulence in strain MK-1, while unaffected pathogenicity protein counts were 52. The MK-1 strain can produce antifungal siderophores secondary metabolites, non-ribosomal peptide synthetase (NRPS), and siderophores.
40065412	Efficacy of a novel chewable tablet (Credelio Quattro<sup>™</sup>) containing lotilaner, moxidectin, praziquantel, and pyrantel for the treatment and control of Echinococcus multilocularis and E. granulosus infections in dogs.	While generally harmless to dogs, the cestode species Echinococcus granulosus and Echinococcus multilocularis have significant zoonotic importance, causing cystic echinococcosis and alveolar echinococcosis in humans, respectively. Regular deworming is essential to treat intestinal cestode infections in dogs and to reduce environmental egg contamination and thus the subsequent zoonotic risk of infection to intermediate hosts and humans. The studies described here evaluated the efficacy of a new novel chewable tablet combination containing lotilaner, moxidectin, praziquantel and pyrantel (Credelio Quattro, Elanco Animal Health) against E. granulosus and E. multilocularis infections in dogs.
40065246	Epigallocatechin -3- gallate mitigates diazinon neurotoxicity via suppression of pro-inflammatory genes and upregulation of antioxidant pathways.	Diazinon is a commonly used organophosphate (OP) insecticide especially in developing countries for the control of insect pests, however, exposure to its toxic impact especially in humans and other non-target species remains an important public health concern. The study aimed to investigate the effect of epigallocatechin -3- gallate (EGCG), abundant in green tea plants on neurobehavioural, biochemical, and pathological changes in the brain of male Wistar rats following exposure to diazinon toxicity. Sixty adult male Wistar rats were acclimatized for seven days and subsequently randomly assigned into six treatment groups as follows: Group I: Control group (0.2 mL distilled water); Group II: Diazinon at 3 mg/kg (1% LD50); Group III: Diazinon (3 mg/kg) + EGCG (50 mg/kg, ~ 2% of LD50); Group IV: Diazinon (3 mg/kg) + EGCG (100 mg/kg, ~ 5% of LD50); Group V: EGCG (50 mg/kg) and Group VI: EGCG (100 mg/kg). All treatments were administered orally once daily for 14 days. Neurobehavioural studies, biomarkers of oxidative stress, histology, immunohistochemistry, and quantitative polymerase chain reaction (RT qPCR) were performed. Diazinon alone impaired recognition memory, increased oxidative stress markers and altered antioxidant defense in the brain. It upregulated TNF-α and IL-6 genes and repressed GPx 4 gene expressions. It was also associated with increased GFAP, Tau, and α-SN immunoreactivity. Microscopic examination revealed loss of Purkinje and hippocampal cells in brain. Co-treatment with EGCG however improved cognition, lowered oxidative stress markers, improved antioxidant status and suppressed TNF-α and IL-6. In conclusion, findings from this study demonstrated that EGCG offered protection against diazinon-induced neurotoxicity. Hence, natural sources of epigallocatechin -3- gallate such as fruits and vegetables could offer immense benefits by protecting against oxidative stress and inflammation in neurodegenerative disease conditions.Clinical trial number Not applicable.
40064929	Robust Fe-N<sub>4</sub>-C<sub>6</sub>O<sub>2</sub> single atom sites for efficient PMS activation and enhanced Fe<sup>IV</sup> = O reactivity.	The microenvironment regulation of Fe-N<sub>4</sub> single atom catalysts (SACs) critically governs peroxymonosulfate (PMS) activation. Although conventional heteroatom substitution in primary coordination enhances activity, it disrupts Fe-N<sub>4</sub> symmetry and compromises stability. Herein, we propose oxygen doping in the secondary coordination shell to construct Fe-N<sub>4</sub>-C<sub>6</sub>O<sub>2</sub> SAC, which amplifies the localized electric field while preserving the pristine coordination symmetry, thus trading off its activity and stability. This approach suppresses Fe-N bond structural deformation (bond amplitude reduced from 0.875-3.175 Å to 0.925-2.975 Å) during PMS activation by lowering Fe center electron density to strengthen Fe-N bond, achieving extended catalytic durability (>240 h). Simultaneously, the weakened coordination field lowers the Fe=O σ* orbital energy, promoting electrophilic σ-attack of high-valent iron-oxo towards bisphenol A, and increasing its degradation rate by 41.6-fold. This work demonstrates secondary coordination engineering as a viable strategy to resolve the activity-stability trade-off in SAC design, offering promising perspectives for developing environmental catalysts.
40064926	Assessment of organophosphate pesticides in soils and vegetables from agricultural areas of Delta Central District, Nigeria.	The application of agrochemicals such as organophosphate pesticides (OPPs) has several benefits in agriculture but also poses great risks to the environment and human well-being. Thus, this study was conducted to determine the concentrations, distribution pattern, relationships, potential risks and sources of OPPs in agricultural soils and vegetables from Delta Central District (DCD) of Nigeria to provide useful information for pollution history, establishment of pollution control measures and risk management. Fourteen OPPs were determined in the soil and vegetables using a gas chromatograph-mass selective detector (GC-MSD). The ∑14 OPPs concentrations varied from 5.29 to 419 ng g<sup>-1</sup> for soil and 0.69 to 130 ng g<sup>-1</sup> for vegetables. On average, pirimiphos methyl (23.8 ng g<sup>-1</sup>) and diazinone (4.74 ng g<sup>-1</sup>) were the dominant OPPs in soils and vegetables respectively. The cumulative ecological risk assessed using the toxicity-exposure-ratio (TER) and risk quotient (RQ) approaches revealed that there was a high risk of OPPs to soil organisms. The increasing order of OPPs toxicity to the soil organisms was chlorpyriphos < fenitrothion < diazinone < pirimiphos methyl while the cumulative human health risk suggested there was adverse non-carcinogenic risk for children but not for adults exposed to OPPs in these agricultural soils and vegetables.
40064833	Advances in biosynthesis of chiral amide herbicides and the key enzymes: dimethenamid-P and S-metolachlor as case studies.	Chiral amide herbicides represent a significant class of agrochemicals, widely used for effective weed control. Prominent examples include S-metolachlor and dimethenamid-P, both of which share the intermediate (S)-1-methoxy-2-propylamine, a key structural component in their synthesis. Developing green and sustainable methods for producing this intermediate is crucial for enhancing the environmental and economic feasibility of herbicide manufacturing. Biosynthesis, with its advantages in sustainability and efficiency, has emerged as a pivotal approach in pesticide production. This review explores the classification and current development status of chiral amide herbicides, including their varieties and applications in the agricultural market. It outlines the synthesis pathways for S-metolachlor and dimethenamid-P, covering both chemical and biosynthetic routes. The review also highlights the functional properties of the key enzymes involved in the biosynthesis of (S)-1-methoxy-2-propylamine, focusing on the potential for enzyme engineering and creation to optimize these pathways. The challenges and future development directions for amide herbicides are discussed, with an emphasis on overcoming synthetic and ecological barriers.
40064749	Far-red light-driven photoautotrophy of chlorophyll f-producing cyanobacterium without red-shifted phycobilisome core complex.	Chlorophyll (Chl) f production expands oxygenic photosynthesis of some cyanobacteria into the far-red light (FRL) region through reconstructed FRL-allophycocyanin (APC) cores and Chl f-containing photosystems. Presently, a unicellular cyanobacterium was isolated for studying FRL photoacclimation (FaRLiP) and classified as a new species Altericista leshanensis. It uses additional Chl f and FRL-APC cores, with retained white light (WL)-phycobiliproteins to thrive FRL conditions. Marker-less deletion of FaRLiP-apcE2 gene was constructed using CRISPR-Cpf1 system. This genetic manipulation has no significant effects on the expression of genes in the FaRLiP gene cluster, including adjacent apc genes under FRL conditions. The function-loss mutant cells cannot assemble FRL-APC cores, and show the decreased growth rate and Chl f production under FRL conditions. Interestingly, the expression levels of phycocyanin (PC) subunits (cpc) and photosystem II D1 proteins (psbA2) are significantly increased in mutant cells under FRL conditions. These results suggest that FRL acclimation in the mutant cells has a different photosynthetic apparatus due to the lack of FRL-APC cores. The alternative strategy of FaRLiP provides additional evidence of flexible pathways towards the potential application of Chl f and associated biotechnology.
