mid	title	abstract
40074677	Enantioselective Behaviors and Risk Assessments of Chiral Pesticide Mefentrifluconazole in Four Types of Fruits and Vegetables.	Mefentrifluconazole was the first novel isopropyl alcohol triazole fungicide. Existing research indicated that <i>R-</i>mefentrifluconazole had high activity and low toxicity, presenting potential for monocase application, while limited data existed on its enantioselective dissipation in crops. Here, after confirming the absolute configuration, the enantioselective dissipation and risk assessments of chiral mefentrifluconazole in soybeans, peanuts, tomatoes, grapes, and soil were conducted. The preferential dissipation of <i>R-</i>mefentrifluconazole was verified in soybean plants, soybeans, peanut plants, tomatoes, and grapes. The preferential dissipation of <i>S-</i>mefentrifluconazole was verified in the peanut shells and soil. The stereoisomeric excess variations of mefentrifluconazole in soybean plants, soybean, peanut plants, and peanut shells exceeded 10%, and the enantiomer toxicity and behavior differences should be considered in risk assessments. The dietary risks of acute (0.020-1.250%) and chronic (0.054-18.328%) of mefentrifluconazole in these crops were acceptable. <i>R-</i>Mefentrifluconazole might be recommended for use as a monocase product.
40074641	The links between soil and water pollution and cardiovascular disease.	Soil and water pollution represent significant threats to global health, ecosystems, and biodiversity. Healthy soils underpin terrestrial ecosystems, supporting food production, biodiversity, water retention, and carbon sequestration. However, soil degradation jeopardizes the health of 3.2 billion people, while over 2 billion live in water-stressed regions. Pollution of soil, air, and water is a leading environmental cause of disease, contributing to over 9 million premature deaths annually. Soil contamination stems from heavy metals, synthetic chemicals, pesticides, and plastics, driven by industrial activity, agriculture, and waste mismanagement. These pollutants induce oxidative stress, inflammation, and hormonal disruption, significantly increasing risks for non-communicable diseases (NCDs) such as cardiovascular disease (CVD). Emerging contaminants like micro- and nanoplastics amplify health risks through cellular damage, oxidative stress, and cardiovascular dysfunction. Urbanization and climate change exacerbate soil degradation through deforestation, overfertilization, and pollution, further threatening ecosystem sustainability and human health. Mitigation efforts, such as reducing chemical exposure, adopting sustainable land-use practices, and advancing urban planning, have shown promise in lowering pollution-related health impacts. Public health initiatives, stricter pollution controls, and lifestyle interventions, including antioxidant-rich diets, can also mitigate risks. Pollution remains preventable, as demonstrated by high-income nations implementing cost-effective solutions. Policies like the European Commission's Zero-Pollution Vision aim to reduce pollution to safe levels by 2050, promoting sustainable ecosystems and public health. Addressing soil pollution is critical to combating the global burden of NCDs, particularly CVDs, and fostering a healthier environment for future generations.
40074454	Mass spectrometric monitoring of redox transformation and arylation of tryptophan.	Tryptophan (Trp) is an essential amino acid obtained from human diet. It is involved not only in de novo biosynthesis of proteins but also in complex metabolic pathways. Redox transformation of tryptophan is under-explored in comparison with kynurenine, serotonin and indole pyruvate pathways. We described herein a mass spectrometric approach that can not only detect electron transfer-associated changes in masses and charges, but also identify electron-directed bond cleavages and radical-radical cross-coupling reactions in redox transformation of tryptophan. Photoactive TiO<sub>2</sub> that is widely applied in cosmetic products is used as electron donor and receptor because of the capability to generate photoelectrons and holes. It was demonstrated tryptophan undergoes redox transformation through the removal of an electron from amino nitrogen atom by hole oxidization along with an electron capture in the indole ring. The back and forth electron-shuttle converts electric energy into chemical energy that enforces bond cleavages. Sodium-coupled electron transfer (SCET) was found in complementary with proton-coupled electron transfer in tryptophan. The movement of sodium ions avoids electric charge buildup caused by electron transfer. Various redox products were detected on both light irradiated TiO<sub>2</sub> and skins, among which β-carboline shows extensive radical scavenging ability for diverse cross-coupling with indole derivatives. Light-independent redox products have been detected in vivo such as in mouse brain, indicating the presence of in vivo electron transfer-directed redox transformation. It has also been revealed that tryptophan can be arylated on C<sub>α</sub> and C<sub>β</sub> atoms in response to the exposure of halogenated aromatics.
40074108	Discovery of novel seven-membered ring derivatives of ONC212 as caseinolytic protease P protein activators using the ring expansion strategy: Rational design, synthesis, and antibacterial evaluation.	Caseinolytic protease P (ClpP) protein is essential for prokaryotic and eukaryotic protein homeostasis, and has emerged as a promising bactericidal target for controlling bacterial infection and evading the emergent of drug-resistance risk. As the unique bactericidal mechanism, ClpP loses its substrate specificity and undergoes uncontrolled protein hydrolysis in the presence of an activator, leading to causing bacterial death. To further expand the chemotype of ClpP activator, a series of ONC212 derivatives were synthesized using a ring expansion strategy. Surprisingly, compound A<sub>14</sub> showed optimal antibacterial activity against Xanthomonas oryzae pv. oryzae (Xoo) in vitro (EC<sub>50</sub> value = 3.86 μg/mL), which was >6 × more potent than the EC<sub>50</sub> value of ONC212 (26.42 μg/mL). Molecular docking, fluorescence titration and degradation experiments of the XooFtsZ protein indicated that compound A<sub>14</sub> was a strong degrader of XooClpP towards XooFtsZ. In vivo assays showed that the control activity of compound A<sub>14</sub> (200 μg/mL) reached 47.47 %, compared to 41.57 %, 36.72 %, and 30.43 % for ONC212, thiodiazole copper, and bismerthiazol, respectively. Overall, this study led to the identification compound A<sub>14</sub>, which not only showed improved antibacterial potency, and maintained the binding XooClpP, but also highlighted the ring expansion strategy as a promising approach for bactericide discovery.
40073787	Detritivore identity modulates effects of nutrient enrichment and a common fungicide presence on leaf litter decomposition and fungal community.	Understanding the interaction of biotic and abiotic factors on ecosystem function is crucial for freshwater ecosystem management, However, the influence of nutrient enrichment, fungicide presence, and detritivore identity on leaf litter decomposition and associated fungal communities remains poorly understood. We conducted a microcosm experiment to examine: 1) the individual and combined effects of nutrient enrichment and a common fungicide on leaf litter decomposition and fungal communities; and 2) how two types of detritivore invertebrates (scrapers vs. shredders) influence these effects. After 35 days, we assessed: 1) leaf litter decomposition, dissolved organic carbon (DOC) production, and the activities of extracellular enzymes; and 2) the diversity, community structure, and co-occurrence networks of fungal communities. We found that both fungicides and nutrient enrichment increased enzymatic activity but did not significantly impact fungal diversity. However, fungicides changed fungal community structure and reduced detritivore-mediated decomposition and DOC production, while nutrient enrichment had the opposite effect. In combination, nutrient enrichment mitigated the negative effects of fungicides on fungal co-occurrence network stability and decomposition. We found that detritivore identity selectively influenced fungal taxa, resulting in distinct co-occurrence patterns under different stressors. The effects of nutrient enrichment and/or fungicide on leaf litter decomposition also depended on detritivore identity. This research underscores the pivotal role of detritivore identity and the interplay of biotic and abiotic factors in shaping fungal communities and modulating leaf litter decomposition, particularly in multiple stressors settings, and its implications for effective management and biodiversity conservation.
40073769	Study of feed intake rate as a physiological biomarker in Nile Tilapia, Oreochromis niloticus (Linnaeus 1758) under Chlorpyrifos and Cypermethrin exposure.	Chlorpyrifos and cypermethrin are the two most extensively applied insecticides in agricultural areas across the world and are found to contaminate adjacent water bodies, posing risks to non-target aquatic organisms, including fish. Aquaculture is primarily concerned with the feeding and growth of fish. This study evaluated the effects of sub-lethal concentrations of chlorpyrifos and cypermethrin on the physiological biomarker 'feed intake rate' of Oreochromis niloticus through 96 h static renewal bioassays. The fish were fed a formulated diet containing 30 % crude protein at 5 % of their body weight per day. The feed intake rate calculation was based on the outcome of 6 h feeding of fish carried out in glass aquariums. Uneaten diets (leftovers) were carefully collected and dried, and the weight of the uneaten diets was subtracted from the total amount of dry feed delivered to determine the actual feed intake rate. In the present study, the actual feed intake rates in O. niloticus exposed to chlorpyrifos and cypermethrin varied from 3.06 ± 0.02 to 3.92 ± 0.02 g/100 g BW/d and from 3.32 ± 0.02 to 4.02 ± 0.01 g/100 g BW/d, respectively. Feeding rates and growth of O. niloticus decreased in all sub-lethal concentrations of both test pesticides when compared to the control. Even at a sub-lethal concentration of 5 μg/L chlorpyrifos and 0.5 μg/L cypermethrin, O. niloticus lost its appetite. It can be concluded that chlorpyrifos and cypermethrin even in low concentrations (μg/L) in aquatic media can affect the feed intake rate and growth in fish.
40073671	Novel fluorescence-based and portable detection platforms using nitrogen-doped carbon dots for environmental monitoring of dichloran fungicide.	A novel fluorescence sensor utilizing label-free nitrogen self-doped carbon dots (NCDs) was developed for the sensitive, selective, and rapid determination of dichloran fungicide, popularly used in agricultural and horticultural fields. The NCDs were prepared from maleic anhydride and diethylenetriamine via a one-step pyrolysis process. They demonstrated strong blue fluorescence emission with a quantum yield of 12 %. With the addition of dichloran, the fluorescence emission of NCDs was quenched, attributed to the inner filter effect and dynamic quenching. They demonstrated outstanding sensitivity to dichloran with a linear range between 1.0 and 50.0 µM and a remarkably low detection limit of 7.6 nM, the best reported date. The sensing process could be repeatedly and rapidly generated within 30 s. Additionally, the NCDs exhibited selectivity towards dichloran amidst interferences, including common metal ions, organic chemicals, and other fungicides. The detection of dichloran in carrots, grapes, and drinking water was successfully accomplished using NCDs, yielding satisfactory recovery results ranging between 95.1 and 108.7 %. Moreover, a paper-based sensor based on NCDs as sensing probes was demonstrated to observe the fluorescence quenching towards dichloran, with a detection limit of 4.24 µM. It also showed high efficacy in distinguishing and selectively detecting dichloran against interferences. Therefore, this work contributes to the development of efficient and portable detection platforms with applications in environmental monitoring and agricultural fields.
40073482	Filament-woven SF/PA gel for removing ultrafine nanoparticles and unmanageable hazardous pollutants by "all-in-one net".	The current state of the world's water resources is facing serious challenges, and the current water purification processes are designed for a single, more specific contaminant, with more stringent constraints, which are not suitable for emergency water treatment in stochastic environment and may cause secondary pollution. It is necessary to provide a water purification method that is convenient, easy-to-operate, one-step treatment of multiple pollutants. Herein, silk fibroin (SF) that extracted from discarded silkworm cocoons and recycled silk and phytic acid (PA) are "woven" into a network structure through hydrogen bonding and electrostatic interaction to form a unique gel, which could be used to remove different pollutants by "sweeping and catching" and physical adsorption. SF/PA gels have been demonstrated to adsorb more than 99.9% of ultrafine nanoparticles in water, and many unmanageable hazardous pollutants can also be removed by "All-in-one Net", including bacteria, polystyrene microsphere, insoluble antibiotics and pesticides. In addition, SF/PA gel from waste resources can not only achieve the purpose of treating waste with waste, but also the products after removal of pollutants can be reused as biochar-based fertilizer to improve the soil environment. This process established a sustainable closed-loop system without secondary pollution, providing an excellent scheme for the sustainable use of resources.
40073479	Degradative removal of diclofenac from wastewater - Statistical and analytical approaches to understand degradation pathways.	In environmental management area, quality of water is a major growing concern with the emerging contaminants such as pesticides and pharmaceuticals likely to be present at low concentrations in water bodies, thereby potentially harming the ecosystem and human health. Diclofenac (DCF), a commonly used drug, has been found in wastewater, surface water, and drinking water sources, whose elimination can be a challenge issue. This study investigates the elimination of DCF by the photochemical method from aqueous media using short-wavelength radiation and hydrogen peroxide. A statistical approach is used to optimize and evaluate the effects of experimental parameters on the degradation of DCF. A quadratic model was proposed to predict the response to variations in three key parameters viz., initial DCF concentration, pH of the solution, and H<sub>2</sub>O<sub>2</sub> concentration. The suggested model shows a high coefficient of determination (R<sup>2</sup> = 0.9961), indicating that observed data is replicated by modelled data. The findings suggest that pH of the solution is the most significant factor affecting the degradation process. Furthermore, a strong interaction between initial concentrations of DCF and hydrogen peroxide is observed. Complete degradation of DCF is achieved within 90 min under the optimal conditions (pH = 4, [DCF]<sub>0</sub> = 20 mg L<sup>-1</sup>, and [hydrogen peroxide]<sub>0</sub> = 600 mg L<sup>-1</sup>). This is the first of its kind of study to identify the reaction intermediates using the solid phase extraction (SPE), a pre-concentration step via evaporation with a gentle stream of nitrogen, and direct infusion high-resolution mass spectrometry (DI-HRMS) to detect trace level reaction intermediates. The study follows the United Nations SDGs # 7 program dealing with clean water production. The possible degradation pathways of DCF are proposed.
40073365	Design, Synthesis, and Nematicidal Activity of Novel Amide Derivatives Containing an 1,2,4/1,3,4-Oxadiazole Moiety against <i>Bursaphelenchus xylophilus</i>.	To discover novel structural nematicides, 79 amide compounds containing 1,2,4/1,3,4-oxadiazole moiety were designed, synthesized, and evaluated for nematicidal efficacy against second-stage juveniles of <i>Bursaphelenchus xylophilus</i> (<i>B. xylophilus</i>). Notably, some compounds exhibited superior nematicidal efficacy, for example, the LC<sub>50</sub> values of compounds <b>11</b>, <b>39</b>, <b>40</b>, <b>48</b>, <b>49</b>, <b>51</b>, <b>52</b>, and <b>54</b> were 7.4, 31.0, 35.3, 10.3, 12.7, 6.9, 21.5, and 52.2 mg/L, respectively, with nematicidal activities significantly surpassing that of tioxazafen (79.3 mg/L). Compound <b>51</b> exhibited multifaceted nematicidal activity through suppression of motility, feeding, and reproduction, combined with induction of oxidative stress. Compound <b>51</b> significantly reduced nematode protein content and impaired antioxidant capacity. Meanwhile, compound <b>51</b> demonstrates superior binding energy and interaction mode with succinate dehydrogenase (SDH), showing potent SDH inhibition (IC<sub>50</sub> = 15.0 μmol/L). Therefore, compound <b>51</b>, which may become a potential SDH inhibitor, interferes with nematode energy metabolism by inhibiting SDH activity, resulting in nematode death.
