mid	title	abstract
40079237	Insect metamorphosis and chitin metabolism under miRNA regulation: a review with current advances.	Insect metamorphosis is a complex developmental process regulated by microRNAs (miRNAs) and hormonal signaling pathways. Key genes driving insect ontogenic changes are precisely modulated by miRNAs, which interact with 20-hydroxyecdysone (20E) and juvenile hormone (JH) to coordinate developmental transitions. Over the past decade, significant progress has been made in understanding miRNA biogenesis, their regulatory roles in gene expression, and their involvement in critical biological processes, including metamorphosis and chitin metabolism. miRNAs are now recognized as essential regulators of chitin metabolism and hormonal signaling, ensuring precise control of insect development. Disrupting the expression of participating genes in hormone signaling pathways through miRNAs leads to aberrant metamorphosis and consequent lethal outcomes, highlighting their potential as targets for pest control. This review summarizes current advances in miRNA-mediated regulation of insect metamorphosis and chitin metabolism, with a focus on their interactions with 20E and JH signaling pathways. By integrating recent findings, we provide insights into the molecular mechanisms underlying miRNA function in developmental transitions and their potential applications in insect pest management strategies. © 2025 Society of Chemical Industry.
40079208	Influence of organic mulches and soil properties on the phenolic profile of leaves, canes and grape skins in grapevine (Vitis vinifera L.).	Applying organic amendments to vineyard soil improves soil properties and vine development by increasing soil water retention and nutrient content. However, little is known about how organic mulches modify grapevine phenolic composition. This study analysed the phenolic profile in the leaves, canes, and grape skins of Tempranillo over 3 years in two vineyard locations with three organic mulches: spent mushroom compost (SMC), grapevine pruning debris (GPD) and straw (STR), as well as two conventional soil practices: herbicide (HERB) and tillage (TILL).
40079187	Chemometric-assisted electrochemical sensor for simultaneous determination of neonicotinoids imidacloprid and thiamethoxam in honey samples.	Neonicotinoids are systemic insecticides used in agriculture. In particular, imidacloprid (IM) and thiamethoxam (TM) have selective toxicity to insects, and they have been implicated in the steep decline of the global honeybee population, specifically in colony collapse disorder (CCD). Some scientific reports have shown that a significant amount of honey worldwide contains traces of neonicotinoids, at levels strong enough to cause damage to bees. Therefore, the development of portable and low-cost sensor devices to permit rapid detection of these neonicotinoids in the field (<i>in situ</i>) is of great importance. The main goal of this work was the development of an electrochemical method, for the first time, to simultaneously determine IM and TM, which can occur in honey samples from Argentina. The electrochemical sensor was based on a pretreated glassy carbon electrode (GCE) using square wave voltammetry (SWV) as the analytical technique. All parameters involved in the response were optimized using a central composite design. The SWV response was modeled using the artificial neural network (ANN) algorithm. Recovery experiments were performed with spiked honey samples, yielding recovery values from 90% to 107% without pretreatment of the samples. The proposed method is presented as a very good and simple alternative for determining IM and TM in Argentina honeys samples.
40078837	Electric Heating Pad as an Adjuvant Treatment of Extensive Chromoblastomycosis in Immunocompetent Patient: A Case Report.	Chromoblastomycosis is a chronic fungal infection of the skin and subcutaneous tissues, caused by melanized fungi. In cases with extensive cutaneous lesions, heat therapy can be used as an adjuvant to systemic antifungal therapy. This case report aimed to demonstrate the efficacy of heat therapy using an electric heating pad as an adjuvant to itraconazole in the treatment of extensive chromoblastomycosis. A 60-year-old immunocompetent male presented with ten-year history of extensive verrucous erythematous plaques with atrophic central lesions located in the right arm. Histology and mycological examination from a direct smear and skin biopsy revealed muriform cells and pathognomonic chromoblastomycosis. Cultures grew dark-pigmented colonies, yielding <i>Fonsecaea spp</i>. A combination therapy of itraconazole 400 mg daily and topical heat therapy using an electric heating pad resulted in clinical improvement during the first month of treatment. Heat therapy can be administered as an adjuvant to systemic antifungal therapy because of its fungistatic and fungicidal effects, and its ability to enhance the patient's immune response. The selection of a suitable heat therapy device is crucial for improving the success of therapy. In this case, the patient demonstrated significant improvement in cutaneous lesions after one month of combination therapy with itraconazole and heat therapy. Electric heating pads are a good choice for topical heat therapy because of their stable temperature, availability, affordability, and ease of use. Heat therapy using electric heating pads is an effective adjuvant to systemic antifungal therapy in the treatment of extensive chromoblastomycosis.
40078543	<i>Diaporthe betae</i> sp. nov., a new species associating with sugar beet root rot in Heilongjiang Province, China.	Sugar beet (<i>Beta vulgaris</i> L.) is an economically important crop grown worldwide, but its production is threatened by root rot diseases caused by soil-borne fungi. This study aimed to identify and characterize a new pathogen causing root rot in sugar beet in Heilongjiang Province, China.
40078089	Asymmetric Synthesis of S(IV)-Stereogenic Sulfinimidate Esters by Sulfinamide Activation.	Catalyst-controlled approaches for the synthesis of S-stereogenic compounds have propelled significant advancements in asymmetric synthetic chemistry. In contrast, control over S-heteroatom (e.g. O) bond formation to access sulfinimidate esters remains an underexplored area. Drawing inspiration from recent progress in electrophilic amide activation, herein, we present a sulfinamide activation strategy for the enantioselective synthesis of S-chiral sulfinimidate esters. This method involves the activation of racemic sulfinamides by sulfonyl chloride, yielding a reactive aza-sulfinyl mixed anhydride intermediate. Employing a naturally occurring cinchonidine catalyst, the process achieves excellent enantiocontrol in the subsequent formation of S-O bonds with alcohols involving a dynamic kinetic resolution (DKR) process, resulting in sulfinimidate esters with excellent enantioselectivity. The catalytically obtained enantioenriched sulfinimidate esters offer a versatile platform for the construction of S-stereogenic frameworks, including sulfilimines and sulfoximines, with promising applications in asymmetric synthesis and drug discovery.
40077607	Simultaneous Determination of Six Acidic Pesticides, Including 2,4-DB and 2,4,5-T with No Established MRL in Korea Using LC-MS/MS and QuEChERS for the Safety of Imported Agricultural Products.	The use of pesticides is essential for the production of high-quality agricultural products. However, the repeated application of pesticides has led to the contamination of environments, such as the atmosphere, soil, and surface water, affecting ecosystems and leading to residues on crops, which pose potential risks to human health. Accordingly, regulations regarding pesticide usage, application frequency, timing, and maximum residue limits have been established to manage residual pesticides. The Positive List System (PLS), with a default tolerance of 0.01 ppm, has been applied to both domestic and imported agricultural products for which no established maximum residue limits (MRLs) exist in Korea. This study developed a multi-residue analytical method for the simultaneous determination of six pesticides, including 2,4-DB and 2,4,5-T, for which no domestic MRLs have been established, as well as for 2,4-D, 4-CPA, Dicamba, and Dichlorprop, for the management of imported agricultural products. The target pesticides were extracted and purified using the QuEChERS method and quantified by LC-MS/MS. The analytical method was validated according to the CODEX (CAC/GL 40-1993) and the Guidelines of Standard Procedures of Test Methods for Foods and Other Substances established by the MFDS. Using the developed and validated analytical method, monitoring of imported agricultural products was conducted.
40077471	A Broad-Spectrum Monoclonal Antibody-Based Heterologous ic-ELISA for the Detection of Multiple Pyrethroids in Water, Milk, Celery, and Leek.	Pyrethroids are one of the most commonly used insecticides worldwide in agriculture, public health, and household products. To monitor the presence of pyrethroids in the environment and in food, a broad-spectrum monoclonal antibody (mAb), CL/CN-1D2, was prepared. This mAb demonstrates a 50% inhibitory concentration (IC50) for different pyrethroids: cypermethrin (129.1 µg/L), β-cypermethrin (199.6 µg/L), cyfluthrin (215.5 µg/L), fenpropathrin (220.3 µg/L), λ-cyhalothrin (226.9 µg/L), β-cyfluthrin (241.7 µg/L), deltamethrin (591.2 µg/L), and fenvalerate (763.1 µg/L). Using the mAb CL/CN-1D2, a highly sensitive heterologous indirect competitive ELISA (ic-ELISA) was developed for the rapid detection of these pyrethroids. The limit of detection (LOD) for the eight pyrethroids in water, milk, celery, and leek matrices ranged from 24.4 to 152.2 μg/kg. The recoveries ranged from 65.1% to 112.4%, with a coefficient of variation (CV) below 15%. A robust correlation (<i>R</i><sup>2</sup> = 0.9945) between the ic-ELISA and GC indicated that the ic-ELISA is a reliable tool for the rapid and cost-effective screening of pyrethroids residues.
40077447	Recent Advances in Biosensor Technologies for Meat Production Chain.	Biosensors are innovative and cost-effective analytical devices that integrate biological recognition elements (bioreceptors) with transducers to detect specific substances (biomolecules), providing a high sensitivity and specificity for the rapid and accurate point-of-care (POC) quantitative detection of selected biomolecules. In the meat production chain, their application has gained attention due to the increasing demand for enhanced food safety, quality assurance, food fraud detection, and regulatory compliance. Biosensors can detect foodborne pathogens (<i>Salmonella</i>, <i>Campylobacter</i>, Shiga-toxin-producing <i>E. coli</i>/STEC, <i>L. monocytogenes</i>, etc.), spoilage bacteria and indicators, contaminants (pesticides, dioxins, and mycotoxins), antibiotics, antimicrobial resistance genes, hormones (growth promoters and stress hormones), and metabolites (acute-phase proteins as inflammation markers) at different modules along the meat chain, from livestock farming to packaging in the farm-to-fork (F2F) continuum. By providing real-time data from the meat chain, biosensors enable early interventions, reducing the health risks (foodborne outbreaks) associated with contaminated meat/meat products or sub-standard meat products. Recent advancements in micro- and nanotechnology, microfluidics, and wireless communication have further enhanced the sensitivity, specificity, portability, and automation of biosensors, making them suitable for on-site field applications. The integration of biosensors with blockchain and Internet of Things (IoT) systems allows for acquired data integration and management, while their integration with artificial intelligence (AI) and machine learning (ML) enables rapid data processing, analytics, and input for risk assessment by competent authorities. This promotes transparency and traceability within the meat chain, fostering consumer trust and industry accountability. Despite biosensors' promising potential, challenges such as scalability, reliability associated with the complexity of meat matrices, and regulatory approval are still the main challenges. This review provides a broad overview of the most relevant aspects of current state-of-the-art biosensors' development, challenges, and opportunities for prospective applications and their regular use in meat safety and quality monitoring, clarifying further perspectives.
40077423	Multiclass Determination of 87 Mixed Veterinary Drugs, Pesticides and Mycotoxin Residues in Beef Muscle Samples by Ionic Liquid-Based Dispersive Liquid-Liquid Microextraction and Liquid Chromatography Tandem Mass Spectrometry.	A miniaturised, eco-friendly and efficient multiclass method for the simultaneous determination of 87 veterinary drugs, pesticides and mycotoxin residues in beef muscle samples by ionic liquid-based dispersive liquid-liquid microextraction (IL-DLLME) and liquid chromatography tandem mass spectrometry (LC-MS/MS) was developed and validated according to Commission Implementing Regulation (EU) 2021/808 and ISO/IEC 17025: 2017. Under IL-DLLME optimum conditions, matrix calibration yielded a coefficient of determination (<i>R</i><sup>2</sup>) ranging from 0.99942 to 0.99997. The limit of detection (LOD) and limit of quantification (LOQ) ranged from 0.93 to 23.78 µg kg<sup>-1</sup> and from 1.98 to 38.27 µg kg<sup>-1</sup>, respectively. Recoveries ranged from 80.0 to 109.8% and the decision limit (CCα) values ranged from 13.0 to 523.0 µg kg<sup>-1</sup>. Repeatability and reproducibility values were achieved in the ranges of 1.55-12.91% and 1.44-13.35%, respectively. The validated method was applied to 50 real beef samples and 12% of the tested samples contained traces of some residues, but they were all below their respective LOQs and CCα; hence, the beef was fit for human consumption. The greenness of the method was assessed using five green analytical chemistry (GAC) metrics, namely, the Analytical Eco-Scale (AES), NEMI, GAPI, AGREE and ComplexGAPI, and found to be green according to the AES metric and Analytical GREEnness Metric Approach and Software (AGREE). The method provided better results at a greatly reduced cost and analysis time in comparison with standard method.
