pmid	title	abstract	label	text_label
29990300	Oxidative stress in triazine pesticide toxicity: a review of the main biomarker findings.	This review article provides a summary of the studies relying on oxidative stress biomarkers (lipid peroxidation and antioxidant enzymes in particular) to investigate the effects of atrazine and terbuthylazine exposure in experimental animals and humans published since 2010. In general, experimental animals showed that atrazine and terbuthylazine exposure mostly affected their antioxidant defences and, to a lesser extent, lipid peroxidation, but the effects varied by the species, sex, age, herbicide concentration, and duration of exposure. Most of the studies involved aquatic organisms as useful and sensitive bio-indicators of environmental pollution and important part of the food chain. In laboratory mice and rats changes in oxidative stress markers were visible only with exposure to high doses of atrazine. Recently, our group reported that low-dose terbuthylazine could also induce oxidative stress in Wistar rats. It is evident that any experimental assessment of pesticide toxic effects should take into account a combination of several oxidative stress and antioxidant defence biomarkers in various tissues and cell compartments. The identified effects in experimental models should then be complemented and validated by epidemiological studies. This is important if we wish to understand the impact of pesticides on human health and to establish safe limits.	1	pesticide
29990732	Toxicity induced by glyphosate and glyphosate-based herbicides in the zebrafish hepatocyte cell line (ZF-L).	Glyphosate is the active component of many commonly used herbicides; it can reach bodies of water through irrigated rice plantations. In the present study, we evaluated the effect of glyphosate and Roundup® (a glyphosate-based herbicide) in established culture of the zebrafish hepatocyte cell line ZF-L after 24 and 48 h of exposure to concentrations of 650 and 3250 µg/L. We observed a reduction in metabolic activity and lysosomal integrity, and an increase in cell number after 24 h of Roundup® exposure at the highest concentration. An increase in active mitochondria and apoptotic cells was observed following 24 h exposure to glyphosate and Roundup®, while only exposure to Roundup® induced an increase in necrotic cells. Rhodamine B accumulation decreased after 48 h exposure to 650 µg/L of Roundup®; this reduction is indicative of increased activity of ABC pumps. Overall, the present findings highlighted the hazard of glyphosate exposure not only in the commercial formulation but also glyphosate alone, since both can induce damage in the ZF-L cell line primarily through the induction of apoptosis.	1	pesticide
30015122	Glyphosate and atrazine in rainfall and soils in agroproductive areas of the pampas region in Argentina.	The presence in the atmosphere of glyphosate (GLP) and atrazine (ATZ) was investigated-those pesticides dominating the market in Argentina-through rain, as the main climatic phenomenon associated with wet deposition, both through analyzing source-receptor relationships with soil along with the climatic influences that may condition that transport and through estimating the annual deposition on the surface of the Argentine pampas. Rainwater samples (n = 112) were collected throughout each rainfall in urban areas of the pampas having different degrees of land use and with extensive crop production plus subsurface-soil samples (n = 58) from the relevant periurban sites. The herbicides-analyzed by liquid-chromatography-mass-spectrometry-were detected in >80% of the rain samples at median-to-maximum concentrations of 1.24-67.3 μg·L-1 (GLP) and 0.22-26.9 μg·L-1(ATZ), while aminomethylphosphonic acid (AMPA) was detected at 34% (0.75-7.91 μg·L-1). In soils, GLP was more frequently registered (41%; 102-323 μg·kg-1) followed by ATZ (32%; 7-66 μg·kg-1) and then AMPA (22%; 223-732 μg·kg-1). The maximum GLP concentrations quantified in rainwater exceeded the previously reported levels for the USA and Canada. No associations were observed between soil and rainwater concentrations in the same monitoring areas-despite the soil's action as a source, as evidenced through the AMPA present in rainwater. Median GLP concentrations were significantly associated with isohyets, in an increasing gradient from the east to the west-as such in an inverse pattern to that of the annual rainfall volumes; whereas ATZ-rainwater levels exhibited no characteristic spatial configuration. The estimated annual deposition of GLP by rainfall indicated that more than onc source of a herbicide can lead to its presence in the atmosphere and points out the relevance of rainfall's contribution to the surface levels of a pollutant.	1	pesticide
30021322	A survey of multiple pesticide residues in pollen and beebread collected in China.	Honeybees, as major pollinators, make vital contributions to humans and ecosystems. Worryingly, a phenomenon known as honeybee colony losses has been reported in recent years. One of the factors underlying the occurrence of honeybee colony losses is exposure of honey bees to pesticide residues in their food, which cause detrimental sublethal effects and may lead to the collapse of their colonies. In this paper, 189 pollen samples and 226 beebread samples collected from five major beekeeping areas in China were analyzed from spring 2016 to autumn 2017. The most common active ingredient residues found include the insecticides (imidacloprid, thiamethoxam, fenpropathrin, bifenthrin and chlorpyrifos), the acaricides (coumaphos and fluvalinate) and the fungicides (carbendazim and triadimefon). Our data shows that the residual level of three chemicals (i.e. imidacloprid, thiamethoxam and chlorpyrifos) was higher in pollen than in beebread. Moreover, contamination of pollen and beebread was most serious in spring and in the middle and lower reaches of the Yellow River Area of China. Our data lay the foundation for the risk assessment of pesticides on honeybees in China.	1	pesticide
30024824	Assessment of boscalid and pyraclostrobin disappearance and behavior following application of effective microorganisms on apples.	The aim of this study is to assess the disappearance of boscalid (IUPAC name: 2-chloro-N-[2-(4-chlorophenyl)phenyl]pyridine-3-carboxamide) and pyraclostrobin (IUPAC name: methyl N-[2-[[1-(4-chlorophenyl)pyrazol-3-yl]oxymethyl]phenyl]-N-methoxycarbamate) residues in apple fruit, and to verify whether an organic fertilizer enriched with strains of antagonistic microorganisms can reduce pesticide residue levels. Field trials were conducted in a commercial orchard on apples of the Gloster variety, during 21 days after the treatment with Bellis 38 WG and the subsequent application of Zumba Plant formulation containing Bacillus spp., Trichoderma spp. and Glomus spp. In control samples, the decrease rate of boscalid and pyraclostrobin residue levels followed an exponential function, described by formulae Rt = 0.2824e-0.071t and Rt = 0.1176e-0.060t, with the coefficient of determination of r2 = 0.8692 and r2 = 0.9268, respectively. These levels dropped to half (t1/2) of their initial values after 9.8 and 11.5 days, respectively. The treatment with Zumba Plant resulted in a reduction in boscalid and pyraclostrobin residue levels by 52% and 41%, respectively. The results of this study are of importance for horticulture sciences and for producers of apples using plant protection products (PPPs).	1	pesticide
30025459	Development and Validation of an Ultra-Sensitive UHPLC-MS/MS Method for Neonicotinoid Analysis in Milk.	A very sensitive ultrahigh performance liquid chromatography-tandem mass spectrometry (UHPLC-MS/MS) method was developed and validated for the quantitation of the most common neonicotinoids (thiamethoxam, clothianidin, imidacloprid, acetamiprid, and thiacloprid) at trace levels in milk. Using fast and selective liquid-liquid extraction (LLE) starting from 0.5 mL of milk, lowest limits of quantitation (LLOQ) equal or lower than 10 pg/mL for all analytes were achieved. Precision and accuracy were evaluated at four different concentrations (5, 10, 500, and 10000 pg/mL) and ranged between 2 and 16% (RSD) and 77-125%, respectively. Extraction recoveries and matrix effects ranged between 64 and 76% and 88-98%, respectively. The method was applied to measure neonicotinoid levels in a series of conventional and organic Swiss milks as well as in human breast milk and commercial powdered milk. More than 90% of the samples tested positive for at least one neonicotinoid. However, all animal samples were far below the maximum residue limits authorized for human consumption with average total neonicotinoid levels of 16.1 ± 13.1 pg/mL. Human breast milks and powdered milks contained similar amounts of neonicotinoids. Taken together, our results demonstrate the high prevalence of neonicotinoids in milk from all origins, albeit at levels considered to be safe for human consumption.	1	pesticide
30032372	Photocatalytic degradation of imidacloprid by Ag-ZnO composite.	The present study focused on exploring the potential of Ag-ZnO composites for complete mineralization of imidacloprid with the aim to sustain the pollutant free safe water supply. The composites were prepared by hydrothermal method and characterized by Scanning electron microscope (SEM), Energy dispersive X-ray crystallography (EDX), X-ray diffraction (XRD) and band gap measurements. These composites were used to study the UV irradiated degradation of imidacloprid while optimizing the process parameters such as time of UV irradiation, pH of medium, pesticide concentration and composite loading. The results of the study revealed an increase in photodegradation of imidacloprid by Ag-ZnO composites than pure ZnO. Temperature and catalyst loading had a positive effect on degradation efficiency, while an inverse relation was observed between pesticide concentration and degradation. Moreover, no harmful degradation products of imidacloprid were observed in GC-MS analyses that confirmed its complete mineralization.	1	pesticide
30033022	Synthesis and bioactivity of thiazolidin-2-cyanamide derivatives against type III secretion system of Xanthomonas oryzae on rice.	Targeting virulence factors of bacterial without affecting their growth and survival, has been an initiative strategy for the development of novel anti-microbial agents. The type III secretion system (T3SS), one of essential and highly conserved virulence factors in most Gram-negative pathogenic bacteria, has been regarded as an effective target that developed new anti-microbial drugs. Xanthomonas oryzae pv. oryzae (Xoo) is one of the most Important bacterial pathogens on rice, which causes leaf blight disease. To discover potential anti-virulence agents against the pathogens, a new series of thiazolidin-2-cyanamide derivatives containing 5-phenyl-2-furan were designed and synthesized. Their structures were characterized by 1H NMR, 13C NMR, MS, and elemental analysis. All the title compounds inhibited the promoter activity of a harpin gene hpa1, significantly, that were further checked for the impact on bacterial growth and on the hypersensitive response (HR) caused by Xoo on non-host tobacco plants. The results indicated that treatment of Xoo with the title compounds II-2, II-3 and II-4 resulted in significantly attenuated HR without affecting bacterial growth or survival. Moreover, quantitative reverse transcription-polymerase chain reaction (qRT-PCR) analysis showed that the expression of the Xoo T3SS was suppressed by treatment with the three inhibitors. The mRNA levels of representative genes in the hrp (hypersensitive response and pathogenicity) cluster, as well as the regulatory genes hrpG and hrpX, were reduced. Finally, the in vivo test demonstrated that the compounds could reduce the disease symptoms of Xoo on the rice cultivar (Oryza sativa) IR24.	1	pesticide
30075377	Occurrence and distribution of pesticides in precipitation as revealed by targeted screening through GC-MS/MS.	Facing the tough challenge of precise measurement of ever-increasing numbers of organic contaminants in the environment, there is an urgent need for more reliable and cost-effective methodologies. In this study, we developed and validated a screening method for analysis of over 450 pesticides in precipitation using gas chromatography with tandem mass spectrometry (GC-MS/MS) in multiple reaction monitoring (MRM) mode. Solid phase extraction (SPE) was applied to extract target analytes from precipitation. Using this targeted approach, we managed to detect 123 pesticides with maximum retention time shifts below 0.1 min (except for DEET) in 101 precipitation samples collected between October 2015 and March 2017 in Singapore. This is probably the first study to report the measurements of a wide range of pesticides in precipitation. A spectrum of insecticides, herbicides, fungicides and their synergists were detected and among them DEET, malathion and carbaryl were the most frequently detected pesticides (detection frequency: 100%, 96% & 67%). The Spearman correlations suggest that some pesticides of different subgroups had significant correlations. It is believed that these finding could shed light on the understanding of the contribution of precipitation to environmental contaminants in water cycle.	1	pesticide
30109197	Multi-residue pesticides analysis in water samples using reverse phase high performance liquid chromatography (RP-HPLC).	India is one of the leading suppliers of agrochemicals and has the largest pesticide industry in Asia. Among various Indian states, Punjab is the primary user of pesticides. Presence of pesticide residue in water and food products of Punjab is well documented. The present study was designed to envisage the level of pesticide contamination in pond water of eleven villages of Amritsar district of Punjab, India. A rapid and concurrent method for the identification and quantification of pesticides in water samples was developed and validated. The method validation parameters exhibited high sensitivity of the developed method and the proficiency for the identification and quantification of pesticide residues in water samples. The RP-HPLC method described here •is a novel method which is applicable for simple, rapid and precise detection of pesticides.•40.02% of water samples were found contaminated with multi-residue pesticides.•carbofuran was the most abundant pesticide which was present in 18.18% samples.	1	pesticide
